DNA_isolation_method	platform	rank	R2_mean
I	Illumina	phylum	1
I	Illumina	order	0.880906264603261
I	Illumina	genus	0.236952398167377
I	Illumina	species	0.0191694135792927
MN	Illumina	phylum	1
MN	Illumina	order	0.0232242126994758
MN	Illumina	genus	0.0513446802121028
MN	Illumina	species	0.184972090477925
Q	Illumina	phylum	1
Q	Illumina	order	0.0787660145526293
Q	Illumina	genus	0.0878538910779956
Q	Illumina	species	0.245809499856401
Z	Illumina	phylum	1
Z	Illumina	order	0.0725357174244524
Z	Illumina	genus	0.0376066277483832
Z	Illumina	species	0.171225094064082
