genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Alginatibacterium	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	141	115	74	487	370	310	373	306	228	249	176	325
Bacillus	1740000	1740000	1740000	1740000	6809	7774	7995	8780	12055	11719	5963	11265	12373	8548	15517	1868	1563	3350	1697	2255	2247	2839	2460	13613	12254	9981	14988	20227	22988	15619	26323	8459	18447	11868	19838
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	85	82	81	139	108	149	178	78	126	85	130
Citrobacter	0	0	0	0	2	0	1	17	5	13	1	1	27	2	0	0	0	0	0	3	3	0	1	820	816	541	2986	2727	2335	2666	2458	1749	1863	1230	2342
Enterobacter	0	0	0	0	6	4	4	23	3	12	3	9	8	3	8	2	0	0	4	7	3	1	2	440	278	172	1493	1331	942	1118	1087	746	795	587	727
Enterococcus	990000	990000	990000	990000	9231	10026	10303	4496	6674	1803	878	1231	8121	6574	4145	2537	2347	978	522	220	335	1503	1215	7711	7757	6378	3623	5178	3134	1160	1948	624	6462	4203	3992
Escherichia	1010000	1010000	1010000	1010000	5903	6616	7044	22645	19644	24182	17645	22519	16147	13252	18552	1428	1297	4229	5237	4397	4110	4181	4360	5326	3874	2200	16907	14845	11824	14118	12944	9470	10908	7007	10246
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	371	357	325	500	615	448	728	225	407	298	695
Klebsiella	0	0	0	0	0	2	0	3	2	0	0	2	1	2	3	1	1	0	0	2	1	0	0	691	938	585	2854	2985	2326	3359	2552	2280	2182	1451	2613
Laceyella	0	0	0	0	334	385	383	470	467	460	320	441	372	361	449	95	92	140	122	107	97	104	119	4	2	4	8	10	7	8	13	7	7	9	9
Lelliottia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428	2973	1900	11937	11884	9838	11383	9924	7666	8329	5826	8346
Limosilactobacillus	1840000	1840000	1840000	1840000	12026	11915	12272	3510	3528	967	449	558	6972	5257	4196	2978	3219	483	362	171	187	579	424	15884	20958	16569	5712	5551	3703	1291	3153	644	10980	6317	3955
Listeria	1410000	1410000	1410000	1410000	8802	10109	10323	2377	3421	1146	586	758	5677	4080	2134	2560	2152	518	273	192	202	622	808	12670	13347	11173	3252	4532	3217	1251	2262	627	7154	4364	5282
Metakosakonia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	91	67	45	290	253	217	226	186	148	166	103	186
Pectobacterium	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	43	28	158	190	103	211	180	145	149	83	144
Pseudomonas	420000	420000	420000	420000	845	743	761	6719	2886	3039	2237	3047	1161	1049	2008	180	168	781	1398	641	374	457	446	663	2859	1509	6279	2908	8429	2290	10827	2081	1043	706	7424
Salmonella	1040000	1040000	1040000	1040000	6292	6878	7299	22565	19174	24133	16798	22330	16115	13098	18227	1579	1335	4130	5115	4401	4293	4103	4267	7408	7244	4338	25045	24070	20240	24177	21296	16403	17775	12154	18531
Shigella	0	0	0	0	1878	2084	2178	6691	5974	7509	5376	6923	4767	4076	5745	451	392	1307	1660	1373	1301	1300	1447	1036	801	493	3465	2985	2512	2884	2644	2013	2330	1339	2320
Staphylococcus	1550000	1550000	1550000	1550000	12145	13143	13451	4859	6280	607	342	438	2161	1873	1185	3328	2912	923	446	119	110	222	197	14322	15794	12328	6102	8143	5008	1048	2247	645	2942	2238	2047
Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	718	664	413	219	203	124	23	115	19	338	196	105
