class	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331
Actinobacteria	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Bacilli	963090	963090	963090	963090	1769	1749	1817	20	16	16	413247	466870	320058	15009	14968	11148
Bacteroidia	1492000	1492000	1492000	1492000	22528	14613	16439	112	59	60	4922	3910	4862	76247	32020	87227
Clostridia	3014020	3014020	3014020	3014020	136973	139531	122373	635	711	648	578351	561400	652559	483819	474200	357354
Fusobacteriia	749000	749000	749000	749000	14329	10565	14303	59	46	48	11551	12715	11747	24022	17469	46405
Gammaproteobacteria	1212900	1212900	1212900	1212900	130767	166444	124542	731	966	843	71426	64558	64546	479057	584818	406075
Methanobacteria	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Negativicutes	1587000	1587000	1587000	1587000	158773	139866	153003	687	641	824	285593	247394	361844	436424	400857	310548
Verrucomicrobiae	97000	97000	97000	97000	1220	359	3023	7	2	14	697	149	90	1307	903	3011
