class	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Actinomycetia	883000	39434	39181
Alphaproteobacteria	0	135	0
Bacilli	968110	24204	18205
Bacteroidia	1459000	527603	481256
Betaproteobacteria	0	1000	0
Clostridia	2830010	554310	387064
Coriobacteriia	0	1345	0
Deltaproteobacteria	0	61	0
Erysipelotrichia	0	1322	0
Flavobacteriia	0	1979	0
Fusobacteriia	753000	108728	83903
Gammaproteobacteria	871700	321757	343331
Methanobacteria	17000	1028	1187
Negativicutes	1994000	321932	301578
Saccharomycetes	63000	8528	9498
Spirochaetia	0	96	0
Tissierellia	0	49	0
Tremellomycetes	0	66	0
unclassified	0	1401	274665
Verrucomicrobiae	162000	38211	39181
